z,n,a,symbol,name,nuclide,mass_u,atomic_weight,half_life,half_life_seconds,decay_mode,abundance,spin_parity,binding_energy_per_nucleon_kev,mass_excess_kev,q_alpha_kev,neutron_capture_cross_section_barns,notes,wikipedia_url
1,0,1,H,Hidrógeno,H-1,1.007825,1.008,Estable,,stable,99.985%,1/2+,0,7288.97,,0.3326,Protio; núcleo formado por un único protón.,https://es.wikipedia.org/wiki/Hidr%C3%B3geno
1,1,2,H,Hidrógeno,H-2,2.014102,1.008,Estable,,stable,0.015%,1+,1112.28,13135.7,,0.000519,Deuterio; isótopo estable usado en agua pesada.,https://es.wikipedia.org/wiki/Deuterio
1,2,3,H,Hidrógeno,H-3,3.016049,1.008,12.32 años,388800000,beta-,,1/2+,2827.27,14949.8,,0.000001,Tritio; emisor beta usado como trazador y en fusión.,https://es.wikipedia.org/wiki/Tritio
2,1,3,He,Helio,He-3,3.016029,4.002602,Estable,,stable,0.000137%,1/2+,2572.68,14931.2,,5330,Interesante en criogenia y detectores de neutrones.,https://es.wikipedia.org/wiki/Helio-3
2,2,4,He,Helio,He-4,4.002603,4.002602,Estable,,stable,99.999863%,0+,7073.92,2424.9,,0,Partícula alfa; núcleo extraordinariamente ligado.,https://es.wikipedia.org/wiki/Helio-4
3,3,6,Li,Litio,Li-6,6.015123,6.94,Estable,,stable,7.59%,1+,5332.33,14086.9,,940,Usado en producción de tritio y detectores.,https://es.wikipedia.org/wiki/Litio
3,4,7,Li,Litio,Li-7,7.016004,6.94,Estable,,stable,92.41%,3/2-,5606.44,14907.1,,0.045,Isótopo natural mayoritario del litio.,https://es.wikipedia.org/wiki/Litio
4,5,9,Be,Berilio,Be-9,9.012183,9.012183,Estable,,stable,100%,3/2-,6462.67,11348.5,,0.0076,Único isótopo estable del berilio.,https://es.wikipedia.org/wiki/Berilio
5,5,10,B,Boro,B-10,10.012937,10.81,Estable,,stable,19.9%,3+,6475.08,12050.6,,3837,Alta captura neutrónica; útil en control de reactores.,https://es.wikipedia.org/wiki/Boro-10
5,6,11,B,Boro,B-11,11.009305,10.81,Estable,,stable,80.1%,3/2-,6927.73,8667.7,,0.0055,Isótopo natural mayoritario del boro.,https://es.wikipedia.org/wiki/Boro
6,6,12,C,Carbono,C-12,12,12.011,Estable,,stable,98.93%,0+,7680.14,0,,0.0035,Referencia exacta de la unidad de masa atómica.,https://es.wikipedia.org/wiki/Carbono-12
